#{"t_start": 1753533662.850664, "env_id": "None"}
r,l,t
-225.266546,113,749.788804
-304.945965,130,751.55814
-172.507501,108,753.006995
-282.712045,155,755.01921
-245.027297,131,756.782865
-262.688286,151,758.855268
-202.957824,104,760.267251
-200.71998,100,761.570315
-259.217018,148,765.830919
-226.34247,116,767.297275
-193.621536,100,768.581585
-182.719195,107,769.969713
-254.004794,129,771.642434
-118.795905,144,773.527584
-289.614094,140,775.466697
-182.012646,109,776.933196
-183.434167,105,778.405369
-207.545145,124,780.103114
-213.056732,109,781.533047
-219.742003,105,782.957199
-364.567891,182,785.315053
-193.615009,104,786.696402
-203.740252,111,788.211854
-198.112268,96,789.520635
-237.520843,116,791.077923
-216.177463,107,792.484305
-213.691457,118,796.247259
-347.172861,175,798.429356
-224.239677,122,800.004552
-176.497707,102,801.332232
-193.590184,105,802.695677
-224.612698,110,804.174509
-190.205138,113,805.677647
-208.198735,97,806.992061
-257.394613,119,808.561849
-226.652464,121,810.161444
-317.242184,138,811.98016
-189.918613,120,813.676904
-258.903755,151,815.749343
-204.626083,118,817.410124
-214.346074,113,819.064385
-209.122115,112,820.60378
-282.662524,154,825.149267
-180.916687,113,826.573292
-224.797178,106,827.906591
-211.583892,112,829.3969
-203.535558,126,831.312189
-217.665233,106,832.803542
-227.558358,112,834.403091
-304.385682,164,836.602422
-255.518654,113,838.13623
-222.183507,125,839.941895
-216.708921,108,841.481861
-289.089629,154,843.554483
-232.139757,108,844.97853
-279.989201,146,847.033251
-207.817401,126,848.742027
-197.942953,111,850.281131
-197.246977,112,851.844594
-205.905701,100,855.784149
-157.323413,103,857.087193
-224.115717,129,858.723369
-213.089687,113,860.159655
-227.137264,129,861.825864
-234.994265,128,863.510892
-233.668508,115,865.074723
-194.402043,99,866.395757
-174.558547,104,867.844356
-229.018243,136,869.716834
-202.987922,108,871.171613
-273.564226,139,873.068076
-203.286465,110,874.571425
-236.980446,113,876.074031
-277.496281,122,877.637586
-230.641599,138,879.407249
-167.523531,104,880.849394
-278.55828,141,882.818712
-199.889195,111,886.710412
-245.167148,122,888.261064
-225.566237,105,889.624975
-237.474992,135,891.370438
-200.973111,106,892.782631
-288.572907,159,894.939635
-267.618781,135,896.782507
-163.364807,96,898.085159
-228.598462,119,899.6779
-265.214185,114,901.230616
-194.996329,101,902.70283
-204.938355,126,904.420309
-221.212953,119,905.957365
-205.737805,110,907.399886
-215.576756,103,908.812089
-206.853317,103,910.199501
-227.077813,110,911.720704
-209.050564,110,915.357399
-281.31866,146,917.17474
-213.238007,119,918.677963
-178.604892,100,919.950918
-213.121144,112,921.375303
-195.643936,109,922.866032
-205.546104,104,924.253297
-208.878168,106,925.603943
-252.631228,138,927.368101
-186.689078,112,928.891136
-324.668174,168,931.156674
-215.462871,107,932.593039
-312.478626,145,934.489897
-209.391198,110,935.98015
-204.387534,126,937.647204
-215.644428,114,939.131252
-208.816311,101,940.465339
-198.726425,106,941.840832
-175.84106,103,945.543585
-185.134099,103,946.821899
-230.523232,119,948.343809
-177.302205,103,949.670389
-231.351544,135,951.403594
-213.046294,105,952.815856
-194.104884,100,954.112943
-228.944747,113,955.609249
-211.189546,101,956.93056
-166.522068,105,958.331353
-179.473921,93,959.585538
-211.122797,115,961.118088
-186.034075,94,962.348705
-208.793271,113,963.906383
-169.813957,97,965.179178
-201.809674,111,966.675598
-172.765169,95,967.948857
-236.132307,131,969.657716
-162.020988,98,970.997062
-230.942184,134,975.12294
-314.014802,144,976.960512
-167.267189,96,978.226734
-199.131991,95,979.486965
-208.165427,102,980.80255
-188.06156,105,982.166696
-181.751467,97,983.420819
-185.174796,101,984.747336
-225.707954,130,986.487123
-185.559074,99,987.826806
-203.72404,105,989.213918
-196.386971,107,990.64453
-245.595975,128,992.419843
-238.206653,136,994.207774
-188.186742,103,995.614385
-185.424971,109,997.068275
-183.988575,92,998.310788
-226.974192,114,999.819888
-193.499566,98,1003.389057
