#{"t_start": 1753540296.9886963, "env_id": "None"}
r,l,t
-258.343211,110,2629.546001
-257.159165,110,2638.025167
-237.527334,105,2646.143469
-290.970796,134,2656.657262
-309.409842,135,2667.057662
-257.562267,127,2676.841265
-252.365984,132,2686.986565
-258.255091,122,2696.392154
-331.135184,163,2708.855974
-279.910278,128,2718.727273
-286.688845,142,2729.572825
-313.352246,157,2741.614367
-305.076835,158,2753.770696
-356.714079,208,2769.67486
-384.839941,203,2785.444096
-554.004387,276,2806.79947
-458.02188,187,2821.289954
-708.630405,364,2849.45768
-648.892307,338,2875.500906
-536.6006,290,2897.895472
-776.78072,391,2927.993508
-529.304882,279,2949.473777
-584.335575,320,2973.939889
-879.452572,393,3004.08814
-673.418155,304,3027.50927
-455.787098,242,3046.169279
-569.260702,265,3066.611617
-327.664352,174,3080.094684
-330.530678,176,3093.72647
-282.050411,148,3105.188916
-314.086279,164,3117.981384
-284.044342,150,3129.571615
-276.368689,146,3140.825848
-284.013102,152,3152.587942
-245.976602,129,3162.497047
-250.290106,121,3171.80006
-181.096435,95,3179.174274
-181.325661,94,3186.417778
-178.93082,95,3193.680088
-176.650221,95,3200.930971
-179.064524,95,3208.217084
-180.963835,100,3215.892382
-179.583125,100,3223.530704
-181.793411,99,3231.100106
-213.741849,118,3240.130464
-184.970086,100,3247.782418
-196.200712,101,3255.51923
-176.565304,96,3262.900763
-178.339813,100,3270.565433
-173.235758,96,3278.026842
-166.276876,95,3285.390582
-173.796701,99,3292.994677
-172.201264,95,3300.287034
-176.006752,94,3307.559774
-165.274818,95,3314.913085
-166.214997,93,3322.121068
-170.704347,94,3329.357763
-188.394569,94,3336.67622
-162.368385,95,3344.04689
-192.553507,92,3351.102526
-167.476019,95,3358.445462
-174.308567,98,3366.013179
-195.940213,94,3373.338012
-217.252953,104,3381.396513
-172.913641,97,3388.917209
-219.670556,101,3396.670122
-209.809368,98,3404.227034
-215.084433,100,3411.965687
-230.183497,105,3419.994071
-210.33463,98,3427.492967
-215.192599,100,3435.174978
-182.159386,105,3443.262215
-211.05685,96,3450.675086
-175.315708,99,3458.247607
-187.675486,102,3466.049054
-171.445525,99,3473.578341
-178.490327,101,3481.344364
-211.847175,121,3490.553789
-190.814346,108,3498.833115
-181.78308,105,3506.880779
-169.848937,96,3514.277663
-177.148904,97,3521.732388
-225.051753,130,3531.712654
-185.537904,108,3540.001002
-229.647758,100,3547.726202
-191.659984,109,3556.12882
-192.157443,107,3564.466406
-179.222461,100,3572.191013
-179.34863,99,3579.849215
-182.494882,101,3587.656026
-214.212042,93,3594.745397
-228.397411,98,3601.297154
-173.549173,97,3608.236885
-224.260502,96,3615.727031
-181.39154,96,3622.375007
-178.551136,99,3629.004745
-180.284087,98,3635.591387
-174.07314,97,3642.106511
-229.414657,100,3648.881966
-185.960672,104,3655.846235
-234.9496,100,3662.532505
-179.504594,101,3669.324021
-172.726843,97,3675.847137
-198.599748,108,3683.105562
-181.869255,103,3690.032231
-181.681762,106,3697.165546
-176.829402,100,3703.868693
-187.247536,108,3711.122054
-233.781465,96,3717.570508
-225.221711,93,3723.800038
-170.905004,101,3730.574361
-232.223023,96,3737.005935
-382.627899,197,3750.163583
-167.440923,99,3756.792053
-172.800404,100,3763.488919
-243.723655,132,3772.307374
-177.003811,102,3779.142703
-298.809605,158,3789.701443
-261.391027,143,3799.275772
-218.968319,122,3807.42682
-233.342871,95,3813.80238
-167.860683,99,3820.43763
-225.457888,93,3826.686436
-173.773121,102,3833.535184
-232.918532,96,3839.964597
-234.094692,95,3846.345924
-159.327401,97,3852.854528
-267.788834,143,3862.460174
-166.554283,98,3869.035858
-162.974722,95,3875.453264
-232.289922,94,3881.768677
-173.590735,103,3888.689012
-235.860968,97,3895.21837
-228.126093,94,3901.519415
-232.170626,96,3907.961029
-170.359178,99,3914.621849
-156.210319,98,3921.204575
-156.369366,98,3927.814283
-150.181711,96,3934.25664
-161.662686,96,3940.717621
-158.140444,97,3947.232382
-173.919296,107,3954.419683
-164.027464,99,3961.050389
-161.712408,96,3967.498029
-164.561567,101,3974.261396
-153.710082,92,3980.4503
-164.059038,94,3986.758387
-176.784306,100,3993.489774
-157.838353,101,4000.271659
-170.063849,104,4007.231175
-173.745723,104,4014.192583
-158.374824,100,4020.895105
-157.73391,97,4027.410456
-171.198758,96,4033.852572
-172.352855,93,4040.108139
-153.637642,96,4046.56676
-156.944351,99,4053.198526
-178.368975,101,4059.973419
-185.28818,96,4066.438455
-180.440988,97,4072.934862
-172.557433,103,4079.852106
-171.769649,99,4086.497972
-160.950268,100,4093.200204
-168.485849,102,4100.073367
-170.368054,103,4106.990227
-167.373712,101,4113.761559
-168.486626,103,4120.661844
-161.819633,101,4127.434916
-165.53297,100,4134.163187
-177.489346,104,4141.132167
-176.423565,98,4147.713743
-168.097757,103,4154.603306
-164.936084,99,4161.246437
-163.934239,106,4168.399248
-157.481091,96,4174.858837
-162.843016,98,4181.427661
-172.573648,108,4188.659158
-163.923509,98,4195.262829
-157.577434,98,4201.863641
-163.994615,97,4208.402083
-162.209996,100,4215.571147
-161.668839,101,4223.4735
-171.988374,101,4231.266831
-166.502286,99,4238.910318
-164.088657,99,4246.763368
-168.367867,104,4254.943592
